,DBA,CVLEGEND,B1_FULL_ADDRESS,Lat,Lon
3237,BURGLARY AUTO,BURGLARY - VEHICLE,DWIGHT WAY & SHATTUCK AVE,37.863959,-122.267432
3273,DISTURBANCE,DISORDERLY CONDUCT,2500 DANA ST,37.864701,-122.260693
455,THEFT MISD. (UNDER $950),LARCENY,2500 DURANT AVE,37.867852,-122.258699
4719,BURGLARY AUTO,BURGLARY - VEHICLE,2400 DURANT AVE,37.867513,-122.26127
4401,DISTURBANCE,DISORDERLY CONDUCT,3200 ADELINE ST,37.850345,-122.270911
4721,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1300 FRANCISCO ST,37.873351,-122.287274
1471,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1300 VIRGINIA ST,37.874095,-122.288542
4495,VANDALISM,VANDALISM,1500 PORTLAND AVE,37.894747,-122.287005
929,THEFT MISD. (UNDER $950),LARCENY,2600 DURANT AVE,37.868164,-122.256314
2241,THEFT MISD. (UNDER $950),LARCENY,1400 SHATTUCK AVE,37.881957,-122.269551
1617,ASSAULT/BATTERY MISD.,ASSAULT,2500 DURANT AVE,37.867852,-122.258699
3891,BURGLARY AUTO,BURGLARY - VEHICLE,1600 MILVIA ST,37.877951,-122.271395
4016,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,2500 SHATTUCK AVE,37.863811,-122.267412
2938,ASSAULT/BATTERY MISD.,ASSAULT,GILMAN STREET & SAN PABLO AVE,37.880468,-122.295876
2920,BRANDISHING,WEAPONS OFFENSE,SAN PABLO AVENUE & CHANNING WAY,37.862877,-122.290055
163,FRAUD/FORGERY,FRAUD,1400 SHATTUCK AVE,37.881957,-122.269551
1968,THEFT MISD. (UNDER $950),LARCENY,3000 TELEGRAPH AVE,37.855435,-122.259841
3995,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2800 BUENA VISTA WAY,37.880968,-122.256273
4888,THEFT FELONY (OVER $950),LARCENY,100 BERKELEY SQ,37.871171,-122.267718
3295,THEFT MISD. (UNDER $950),LARCENY,2000 OREGON ST,37.857409,-122.268473
2291,VANDALISM,VANDALISM,1500 HENRY ST,37.880075,-122.270476
2104,VEHICLE STOLEN,MOTOR VEHICLE THEFT,PARKER STREET & SHATTUCK AVE,37.862169,-122.267084
577,BURGLARY AUTO,BURGLARY - VEHICLE,FOURTH STREET & HEARST AVE,37.868878,-122.300284
3398,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2200 PARKER ST,37.862491,-122.2646
5403,VANDALISM,VANDALISM,1400 ALCATRAZ AVE,37.847682,-122.279381
1104,DOMESTIC VIOLENCE,FAMILY OFFENSE,1200 ASHBY AVE,37.852211,-122.286336
3898,BURGLARY AUTO,BURGLARY - VEHICLE,2600 WEBSTER ST,37.855824,-122.25502
4133,ASSAULT/BATTERY MISD.,ASSAULT,HAROLD WAY & KITTREDGE ST,37.868325,-122.269125
2463,DISTURBANCE,DISORDERLY CONDUCT,2100 MILVIA ST,37.870603,-122.270612
1682,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,900 EUCLID AVE,37.895076,-122.264743
5093,2ND RESPONSE,NOISE VIOLATION,2800 HILGARD AVE,37.879273,-122.255986
3013,DOMESTIC VIOLENCE,FAMILY OFFENSE,1500 OXFORD ST,37.880519,-122.267051
3444,IDENTITY THEFT,FRAUD,2800 SEVENTH ST,37.855106,-122.29242
1800,DISTURBANCE,DISORDERLY CONDUCT,SHATTUCK AVENUE & BERKELEY WAY,37.872989,-122.268532
5058,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1800 FOURTH ST,37.869944,-122.300636
2614,NARCOTICS,DRUG VIOLATION,SPINNAKER WAY & MARINA BLVD,37.870562,-122.314503
1889,MISSING JUVENILE,MISSING PERSON,1200 FRANCISCO ST,37.87304,-122.289659
585,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2700 HILGARD AVE,37.878941,-122.257277
4322,FRAUD/FORGERY,FRAUD,1800 VINE ST,37.87935,-122.276123
3829,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1800 BERKELEY WAY,37.872166,-122.275372
3996,THEFT FROM AUTO,LARCENY - FROM VEHICLE,FIFTH STREET & ADDISON ST,37.866472,-122.298403
601,ASSAULT/BATTERY MISD.,ASSAULT,2200 SHATTUCK AVE,37.869363,-122.268028
1519,2ND RESPONSE,NOISE VIOLATION,2300 PIEDMONT AVE,37.869839,-122.252365
2264,BRANDISHING,WEAPONS OFFENSE,2000 MCGEE AVE,37.870924,-122.277518
4697,BRANDISHING,WEAPONS OFFENSE,1400 HEARST AVE,37.871607,-122.284336
3935,VANDALISM,VANDALISM,2100 SHATTUCK AVE,37.871167,-122.268285
965,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,2800 NINTH ST,37.855748,-122.290281
2308,NARCOTICS,DRUG VIOLATION,2100 SHATTUCK AVE,37.871167,-122.268285
1254,ASSAULT/BATTERY MISD.,ASSAULT,1600 RUSSELL ST,37.85525,-122.277126
5192,THEFT FELONY (OVER $950),LARCENY,600 CEDAR ST,37.873089,-122.304616
2300,DOMESTIC VIOLENCE,FAMILY OFFENSE,HAROLD WAY & ALLSTON WAY,37.8692,-122.269308
2505,NARCOTICS,DRUG VIOLATION,SECOND STREET & GILMAN ST,37.878461,-122.305788
3288,THEFT FELONY (OVER $950),LARCENY,2200 SHATTUCK AVE,37.869363,-122.268028
1081,BURGLARY AUTO,BURGLARY - VEHICLE,2300 HASTE ST,37.865443,-122.263189
1258,ASSAULT/BATTERY MISD.,ASSAULT,1900 ALLSTON WAY,37.868785,-122.272701
3615,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2700 HILGARD AVE,37.878941,-122.257277
4786,ROBBERY,ROBBERY,1600 RUSSELL ST,37.85525,-122.277126
4661,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2400 FULTON ST,37.866037,-122.265618
1506,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,2900 TELEGRAPH AVE,37.857452,-122.259548
1025,FRAUD/FORGERY,FRAUD,1700 LINCOLN ST,37.876333,-122.278118
3284,THEFT MISD. (UNDER $950),LARCENY,3000 TELEGRAPH AVE,37.855435,-122.259841
1377,THEFT MISD. (UNDER $950),LARCENY,2800 ADELINE ST,37.858079,-122.268016
2789,VANDALISM,VANDALISM,3000 CLAREMONT AVE,37.855792,-122.247142
3839,VANDALISM,VANDALISM,HARRISON STREET & SIXTH ST,37.881142,-122.30191
4074,DISTURBANCE,DISORDERLY CONDUCT,1600 RUSSELL ST,37.85525,-122.277126
2987,ROBBERY,ROBBERY,2700 BANCROFT WAY,37.869312,-122.254314
392,ASSAULT/BATTERY MISD.,ASSAULT,2900 SEVENTH ST,37.852822,-122.291677
3775,VANDALISM,VANDALISM,2400 TELEGRAPH AVE,37.866761,-122.258779
1442,THEFT MISD. (UNDER $950),LARCENY,2600 WEBSTER ST,37.855824,-122.25502
1260,THEFT MISD. (UNDER $950),LARCENY,2800 ADELINE ST,37.858079,-122.268016
1734,BURGLARY AUTO,BURGLARY - VEHICLE,2400 WEBSTER ST,37.855199,-122.259768
3713,THEFT MISD. (UNDER $950),LARCENY,2800 ADELINE ST,37.858079,-122.268016
3081,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2700 PRINCE ST,37.85489,-122.252564
5363,THEFT MISD. (UNDER $950),LARCENY,1400 SHATTUCK AVE,37.881957,-122.269551
1233,NARCOTICS,DRUG VIOLATION,900 HEINZ AVE,37.853552,-122.291561
5367,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,2300 TELEGRAPH AVE,37.868714,-122.259189
3849,ROBBERY,ROBBERY,1700 SIXTH ST,37.871969,-122.298978
1489,ASSAULT/BATTERY MISD.,ASSAULT,1200 CHANNING WAY,37.863126,-122.288063
4190,BURGLARY AUTO,BURGLARY - VEHICLE,2300 WOOLSEY ST,37.852764,-122.26165
1244,NARCOTICS,DRUG VIOLATION,200 UNIVERSITY AVE,37.865491,-122.310065
3742,BURGLARY AUTO,BURGLARY - VEHICLE,2600 DWIGHT WAY,37.86542,-122.25618
608,VANDALISM,VANDALISM,1000 CAMELIA ST,37.878378,-122.297029
2573,ASSAULT/BATTERY FEL.,ASSAULT,HASTE STREET & DANA ST,37.865729,-122.260903
3978,BURGLARY AUTO,BURGLARY - VEHICLE,2300 ELLSWORTH ST,37.867972,-122.263699
2149,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,RUSSELL STREET & SACRAMENTO ST,37.85492,-122.279323
2185,DOMESTIC VIOLENCE,FAMILY OFFENSE,GILMAN STREET & SAN PABLO AVE,37.880468,-122.295876
3920,BURGLARY AUTO,BURGLARY - VEHICLE,2400 WEBSTER ST,37.855199,-122.259768
5194,VANDALISM,VANDALISM,2200 DURANT AVE,37.866969,-122.26553
3401,VANDALISM,VANDALISM,2300 SHATTUCK AVE,37.867176,-122.267802
5306,DOMESTIC VIOLENCE,FAMILY OFFENSE,1400 CHANNING WAY,37.863773,-122.283034
3923,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2900 LINDEN AVE,37.857788,-122.249754
1895,THEFT FELONY (OVER $950),LARCENY,2500 HILGARD AVE,37.878629,-122.260883
999,DISTURBANCE,DISORDERLY CONDUCT,1600 CARLETON ST,37.859889,-122.278167
1368,THEFT FELONY (OVER $950),LARCENY,2500 HILGARD AVE,37.878629,-122.260883
1071,BRANDISHING,WEAPONS OFFENSE,2000 FOURTH ST,37.867026,-122.299737
1075,VANDALISM,VANDALISM,400 GILMAN ST,37.877715,-122.309618
4815,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,900 GILMAN ST,37.87969,-122.299713
3794,DISTURBANCE,DISORDERLY CONDUCT,UNIVERSITY AVENUE & SAN PABLO AVE,37.869041,-122.292204
3637,NARCOTICS,DRUG VIOLATION,NINTH STREET & GILMAN ST,37.880021,-122.298091
1367,IDENTITY THEFT,FRAUD,1800 UNIVERSITY AVE,37.871246,-122.274991
4519,BURGLARY AUTO,BURGLARY - VEHICLE,2100 BANCROFT WAY,37.867601,-122.267718
418,THEFT MISD. (UNDER $950),LARCENY,2300 SEVENTH ST,37.863564,-122.295135
2247,ASSAULT/BATTERY MISD.,ASSAULT,3000 ADELINE ST,37.85488,-122.269079
1548,ASSAULT/BATTERY MISD.,ASSAULT,2500 DURANT AVE,37.867852,-122.258699
4991,NARCOTICS,DRUG VIOLATION,2100 SHATTUCK AVE,37.871167,-122.268285
2129,ROBBERY,ROBBERY,2000 FIFTH ST,37.867271,-122.298682
431,DOMESTIC VIOLENCE,FAMILY OFFENSE,1300 BURNETT ST,37.853603,-122.283961
2339,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1800 DELAWARE ST,37.873921,-122.275577
668,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,UNIVERSITY AVENUE & ACTON ST,37.870054,-122.284263
3115,THEFT MISD. (UNDER $950),LARCENY,1800 UNIVERSITY AVE,37.871246,-122.274991
1685,BURGLARY AUTO,BURGLARY - VEHICLE,1700 SPRUCE ST,37.876963,-122.265591
4587,DOMESTIC VIOLENCE,FAMILY OFFENSE,DWIGHT WAY & SHATTUCK AVE,37.863959,-122.267432
4948,ASSAULT/BATTERY MISD.,ASSAULT,TELEGRAPH AVENUE & BANCROFT WAY,37.868714,-122.259189
273,DISTURBANCE,DISORDERLY CONDUCT,1200 UNIVERSITY AVE,37.869385,-122.28953
1796,DOMESTIC VIOLENCE,FAMILY OFFENSE,2300 SHATTUCK AVE,37.867176,-122.267802
2186,BURGLARY AUTO,BURGLARY - VEHICLE,100 SPINNAKER WAY,37.870287,-122.316238
2897,IDENTITY THEFT,FRAUD,2000 BONAR ST,37.869642,-122.287492
2616,BURGLARY AUTO,BURGLARY - VEHICLE,2700 ELMWOOD AVE,37.85717,-122.252209
5431,THEFT MISD. (UNDER $950),LARCENY,1800 FOURTH ST,37.869944,-122.300636
29,BURGLARY AUTO,BURGLARY - VEHICLE,COLUSA AVENUE & SOLANO AVE,37.891368,-122.279257
2252,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,3000 SAN PABLO AVE,37.851951,-122.286677
4884,BURGLARY AUTO,BURGLARY - VEHICLE,1900 HOPKINS ST,37.885541,-122.274771
2871,BURGLARY AUTO,BURGLARY - VEHICLE,499 SPRUCE ST,37.901597,-122.270171
4238,THEFT FELONY (OVER $950),LARCENY,1500 COMSTOCK CT,37.877878,-122.279762
1203,DISTURBANCE,DISORDERLY CONDUCT,1000 ADDISON ST,37.867383,-122.293938
3395,DOMESTIC VIOLENCE,FAMILY OFFENSE,2300 BLAKE ST,37.863646,-122.262822
2161,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1000 UNIVERSITY AVE,37.868641,-122.29415
3531,DOMESTIC VIOLENCE,FAMILY OFFENSE,500 ARLINGTON AVE,37.901384,-122.276783
726,VEHICLE STOLEN,MOTOR VEHICLE THEFT,VINE STREET & WALNUT ST,37.880376,-122.268183
684,VANDALISM,VANDALISM,1700 ALCATRAZ AVE,37.848534,-122.272999
3865,VEHICLE STOLEN,MOTOR VEHICLE THEFT,500 VINCENTE AVE,37.899278,-122.283222
3549,IDENTITY THEFT,FRAUD,800 UNIVERSITY AVE,37.867723,-122.298406
3492,VANDALISM,VANDALISM,1000 GILMAN ST,37.88015,-122.297446
4431,THEFT FELONY (OVER $950),LARCENY,1900 ALCATRAZ AVE,37.84905,-122.269098
3111,BURGLARY AUTO,BURGLARY - VEHICLE,100 SEAWALL DR,37.863611,-122.317566
2354,BURGLARY AUTO,BURGLARY - VEHICLE,2400 DURANT AVE,37.867513,-122.26127
2465,MISSING JUVENILE,MISSING PERSON,1600 BLAKE ST,37.861653,-122.278529
169,THEFT MISD. (UNDER $950),LARCENY,1800 FRANKLIN ST,37.872706,-122.285732
4277,THEFT MISD. (UNDER $950),LARCENY,2400 BOWDITCH ST,37.867209,-122.256554
1536,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,DWIGHT WAY & SACRAMENTO ST,37.862178,-122.281204
2558,BURGLARY AUTO,BURGLARY - VEHICLE,1800 SAN ANTONIO AVE,37.899976,-122.279605
5296,THEFT MISD. (UNDER $950),LARCENY,3000 ADELINE ST,37.85488,-122.269079
2972,THEFT MISD. (UNDER $950),LARCENY,SHATTUCK AVENUE & KITTREDGE ST,37.868512,-122.26781
191,THEFT MISD. (UNDER $950),LARCENY,HASTE STREET & BOWDITCH ST,37.866311,-122.256361
2694,IDENTITY THEFT,FRAUD,2500 PRINCE ST,37.854091,-122.256132
2266,BURGLARY AUTO,BURGLARY - VEHICLE,2400 DURANT AVE,37.867513,-122.26127
4543,MISSING ADULT,MISSING PERSON,1600 ALCATRAZ AVE,37.848152,-122.275807
4844,ASSAULT/BATTERY FEL.,ASSAULT,3200 SACRAMENTO ST,37.849431,-122.278174
1225,DISTURBANCE,DISORDERLY CONDUCT,2000 CENTER ST,37.869973,-122.270557
1293,DISTURBANCE,DISORDERLY CONDUCT,500 ARLINGTON AVE,37.901384,-122.276783
341,THEFT MISD. (UNDER $950),LARCENY,2000 KITTREDGE ST,37.868204,-122.270054
4818,NARCOTICS,DRUG VIOLATION,1600 SIXTY-SECOND ST,37.872599,-122.303889
4328,THEFT MISD. (UNDER $950),LARCENY,1200 ADDISON ST,37.868655,-122.288064
1929,VEHICLE STOLEN,MOTOR VEHICLE THEFT,ALCATRAZ AVENUE & KING ST,37.848453,-122.273607
1348,VANDALISM,VANDALISM,2300 CHANNING WAY,37.866327,-122.263359
3804,MISSING ADULT,MISSING PERSON,2900 DERBY ST,37.862393,-122.248851
3912,DISTURBANCE,DISORDERLY CONDUCT,1900 ALLSTON WAY,37.868785,-122.272701
2829,IDENTITY THEFT,FRAUD,1800 GRANT ST,37.873739,-122.275557
274,THEFT FELONY (OVER $950),LARCENY,1900 FOURTH ST,37.868281,-122.300102
2991,IDENTITY THEFT,FRAUD,1600 CARLETON ST,37.859889,-122.278167
3350,THEFT MISD. (UNDER $950),LARCENY,2500 TELEGRAPH AVE,37.865009,-122.258767
2998,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,3100 SAN PABLO AVE,37.821533,-122.276741
2207,VANDALISM,VANDALISM,1200 ORDWAY ST,37.881602,-122.286332
3651,BURGLARY AUTO,BURGLARY - VEHICLE,2400 CHANNING WAY,37.866622,-122.26108
4834,DOMESTIC VIOLENCE,FAMILY OFFENSE,1400 CHANNING WAY,37.863773,-122.283034
4252,THEFT MISD. (UNDER $950),LARCENY,2300 COLLEGE AVE,37.868957,-122.254552
3867,MISSING ADULT,MISSING PERSON,2100 CARLETON ST,37.861265,-122.26698
3145,DISTURBANCE,DISORDERLY CONDUCT,1900 WARD ST,37.858856,-122.271592
4125,DISTURBANCE,DISORDERLY CONDUCT,1500 FOURTH ST,37.874174,-122.301999
2815,VANDALISM,VANDALISM,1200 ADDISON ST,37.868655,-122.288064
3554,BURGLARY AUTO,BURGLARY - VEHICLE,COLLEGE AVENUE & RUSSELL ST,37.858483,-122.253191
5371,BRANDISHING,WEAPONS OFFENSE,2100 EMERSON ST,37.854536,-122.266403
3818,BURGLARY AUTO,BURGLARY - VEHICLE,2900 COLLEGE AVE,37.858356,-122.253179
1097,BURGLARY AUTO,BURGLARY - VEHICLE,2100 FOURTH ST,37.866253,-122.299483
4118,ASSAULT/BATTERY MISD.,ASSAULT,2300 SHATTUCK AVE,37.867176,-122.267802
1031,ROBBERY,ROBBERY,EUNICE STREET & SHATTUCK AVE,37.885653,-122.269953
1393,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1900 BLAKE ST,37.862471,-122.271904
353,THEFT FROM AUTO,LARCENY - FROM VEHICLE,MATHEWS STREET & RUSSELL ST,37.853901,-122.285431
2778,THEFT MISD. (UNDER $950),LARCENY,1500 SHATTUCK AVE,37.880227,-122.26936
4551,MISSING ADULT,MISSING PERSON,1900 HEARST AVE,37.873327,-122.273214
1542,VANDALISM,VANDALISM,1100 SECOND ST,37.880971,-122.306626
5401,BRANDISHING,WEAPONS OFFENSE,SECOND STREET & UNIVERSITY AVE,37.866981,-122.302083
4488,VANDALISM,VANDALISM,1100 SHATTUCK AVE,37.887843,-122.270011
5274,ASSAULT/BATTERY MISD.,ASSAULT,1000 UNIVERSITY AVE,37.868641,-122.29415
4211,DISTURBANCE,DISORDERLY CONDUCT,1900 VIRGINIA ST,37.876018,-122.273517
2561,BURGLARY AUTO,BURGLARY - VEHICLE,2100 WARD ST,37.85948,-122.266689
4667,BURGLARY AUTO,BURGLARY - VEHICLE,SHATTUCK AVENUE & BANCROFT WAY,37.867583,-122.267844
388,THEFT MISD. (UNDER $950),LARCENY,1800 OXFORD ST,37.875084,-122.266464
4247,BURGLARY AUTO,BURGLARY - VEHICLE,2100 ALLSTON WAY,37.86939,-122.267883
1169,BURGLARY AUTO,BURGLARY - VEHICLE,2100 HASTE ST,37.864908,-122.267289
1552,VANDALISM,VANDALISM,1700 UNIVERSITY AVE,37.870948,-122.27733
611,BURGLARY AUTO,BURGLARY - VEHICLE,2800 TELEGRAPH AVE,37.859309,-122.259291
2560,DOMESTIC VIOLENCE,FAMILY OFFENSE,800 PAGE ST,37.876186,-122.30158
3728,DISTURBANCE,DISORDERLY CONDUCT,1500 JULIA ST,37.854186,-122.279157
2042,BURGLARY AUTO,BURGLARY - VEHICLE,1900 PARKER ST,37.861571,-122.271722
3123,BURGLARY AUTO,BURGLARY - VEHICLE,CARLETON STREET & SAN PABLO AVE,37.858518,-122.288665
186,VEHICLE STOLEN,MOTOR VEHICLE THEFT,900 SANTA BARBARA RD,37.892625,-122.268439
1282,THEFT MISD. (UNDER $950),LARCENY,1900 CURTIS ST,37.87084,-122.289678
2337,BURGLARY AUTO,BURGLARY - VEHICLE,2400 DURANT AVE,37.867513,-122.26127
2610,THEFT MISD. (UNDER $950),LARCENY,HASKELL STREET & MABEL ST,37.851107,-122.28324
5246,DISTURBANCE,DISORDERLY CONDUCT,1400 SAN PABLO AVE,37.878722,-122.295312
299,THEFT MISD. (UNDER $950),LARCENY,1900 ALLSTON WAY,37.868785,-122.272701
4045,THEFT MISD. (UNDER $950),LARCENY,2400 CHANNING WAY,37.866622,-122.26108
3424,THEFT MISD. (UNDER $950),LARCENY,1200 FIFTH ST,37.880786,-122.303067
3583,GUN/WEAPON,WEAPONS OFFENSE,2300 WARRING ST,37.869137,-122.250908
3325,ASSAULT/BATTERY FEL.,ASSAULT,2700 HILLEGASS AVE,37.861672,-122.255992
438,THEFT MISD. (UNDER $950),LARCENY,1600 BERKELEY WAY,37.871593,-122.279879
2607,VANDALISM,VANDALISM,2300 SHATTUCK AVE,37.867176,-122.267802
441,VANDALISM,VANDALISM,POTTER STREET & SEVENTH ST,37.851516,-122.291239
4751,BURGLARY AUTO,BURGLARY - VEHICLE,1040 PARKER ST,37.859067,-122.290348
1605,BURGLARY AUTO,BURGLARY - VEHICLE,2400 DURANT AVE,37.867513,-122.26127
3510,ASSAULT/BATTERY MISD.,ASSAULT,2100 SHATTUCK AVE,37.871167,-122.268285
3676,2ND RESPONSE,NOISE VIOLATION,2300 DURANT AVE,37.867259,-122.26324
3360,THEFT MISD. (UNDER $950),LARCENY,1500 SHATTUCK AVE,37.880227,-122.26936
456,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1200 VIRGINIA ST,37.873941,-122.289764
4894,THEFT MISD. (UNDER $950),LARCENY,1200 UNIVERSITY AVE,37.869385,-122.28953
996,THEFT FELONY (OVER $950),LARCENY,2300 PIEDMONT AVE,37.869839,-122.252365
1320,VANDALISM,VANDALISM,2800 ADELINE ST,37.858079,-122.268016
568,DISTURBANCE,DISORDERLY CONDUCT,3100 SHATTUCK AVE,37.852956,-122.266195
1087,BURGLARY AUTO,BURGLARY - VEHICLE,FOURTH STREET & DELAWARE ST,37.870152,-122.300705
1319,NARCOTICS,DRUG VIOLATION,2300 TELEGRAPH AVE,37.868714,-122.259189
1045,THEFT MISD. (UNDER $950),LARCENY,2400 RIDGE RD,37.87587,-122.261777
4557,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2800 WOOLSEY ST,37.854137,-122.251007
4091,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,700 NEILSON ST,37.894721,-122.286417
2235,ROBBERY,ROBBERY,2600 TELEGRAPH AVE,37.862927,-122.258784
2921,BURGLARY AUTO,BURGLARY - VEHICLE,HARRISON STREET & SIXTH ST,37.881142,-122.30191
5073,ASSAULT/BATTERY MISD.,ASSAULT,2800 SACRAMENTO ST,37.856792,-122.279845
661,NARCOTICS,DRUG VIOLATION,ACTON STREET & ADDISON ST,37.869167,-122.284138
3793,VANDALISM,VANDALISM,2000 SAN PABLO AVE,37.868845,-122.29214
4471,VANDALISM,VANDALISM,1200 SIXTH ST,37.881142,-122.30191
730,ROBBERY,ROBBERY,2100 SAN PABLO AVE,37.867533,-122.291719
1777,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2800 SEVENTH ST,37.855106,-122.29242
2009,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2800 WOOLSEY ST,37.854137,-122.251007
2153,DISTURBANCE,DISORDERLY CONDUCT,1800 SAN PABLO AVE,37.871402,-122.292965
2751,BURGLARY AUTO,BURGLARY - VEHICLE,3000 BATEMAN ST,37.855721,-122.2559
1666,MISSING JUVENILE,MISSING PERSON,1200 FRANCISCO ST,37.87304,-122.289659
534,DISTURBANCE,DISORDERLY CONDUCT,FOURTH STREET & DWIGHT WAY,37.859557,-122.29733
2046,THEFT FELONY (OVER $950),LARCENY,1500 UNIVERSITY AVE,37.870396,-122.281585
2650,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1200 SIXTH ST,37.881142,-122.30191
2054,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2600 GRANT ST,37.861129,-122.273879
1645,DISTURBANCE,DISORDERLY CONDUCT,2100 UNIVERSITY AVE,37.872175,-122.267835
2671,BURGLARY AUTO,BURGLARY - VEHICLE,2400 TELEGRAPH AVE,37.866761,-122.258779
4993,ASSAULT/BATTERY MISD.,ASSAULT,2400 DANA ST,37.866508,-122.261057
4541,VANDALISM,VANDALISM,2600 SAN PABLO AVE,37.85922,-122.289035
4705,THEFT FROM AUTO,LARCENY - FROM VEHICLE,TENTH STREET & DELAWARE ST,37.873207,-122.294711
3433,GUN/WEAPON,WEAPONS OFFENSE,SEVENTH STREET & PARDEE ST,37.856073,-122.292735
4418,THEFT FROM AUTO,LARCENY - FROM VEHICLE,700 VIRGINIA ST,37.871666,-122.302314
5402,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1600 FIFTH ST,37.873865,-122.300777
3823,THEFT FELONY (OVER $950),LARCENY,1400 ALCATRAZ AVE,37.847682,-122.279381
2919,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1400 HEARST AVE,37.871607,-122.284336
1839,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,TELEGRAPH AVENUE & PARKER ST,37.863272,-122.258656
2950,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1700 WARD ST,37.858392,-122.275421
4403,VEHICLE STOLEN,MOTOR VEHICLE THEFT,UNIVERSITY AVENUE & MILVIA ST,37.871818,-122.270595
1403,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2800 NINTH ST,37.855748,-122.290281
1416,THEFT MISD. (UNDER $950),LARCENY,2000 BANCROFT WAY,37.867336,-122.269876
2150,BURGLARY AUTO,BURGLARY - VEHICLE,100 SEAWALL DR,37.863611,-122.317566
4314,BURGLARY AUTO,BURGLARY - VEHICLE,BANCROFT WAY & FULTON ST,37.867831,-122.265858
1261,THEFT MISD. (UNDER $950),LARCENY,2800 ADELINE ST,37.858079,-122.268016
5200,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,2600 TELEGRAPH AVE,37.862927,-122.258784
2034,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,2300 TELEGRAPH AVE,37.868714,-122.259189
2068,ASSAULT/BATTERY MISD.,ASSAULT,BONAR STREET & UNIVERSITY AVE,37.869642,-122.287492
3980,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,TELEGRAPH AVENUE & PARKER ST,37.863272,-122.258656
4425,BURGLARY AUTO,BURGLARY - VEHICLE,1200 FIFTH ST,37.880786,-122.303067
18,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,2500 DURANT AVE,37.867852,-122.258699
5034,2ND RESPONSE,NOISE VIOLATION,2300 DURANT AVE,37.867259,-122.26324
1832,DISTURBANCE,DISORDERLY CONDUCT,100 SPINNAKER WAY,37.870287,-122.316238
5187,THEFT FELONY (OVER $950),LARCENY,1300 SAN PABLO AVE,37.880262,-122.295809
2817,THEFT MISD. (UNDER $950),LARCENY,1700 UNIVERSITY AVE,37.870948,-122.27733
3855,ROBBERY,ROBBERY,2600 TELEGRAPH AVE,37.862927,-122.258784
3409,BURGLARY AUTO,BURGLARY - VEHICLE,HARRISON STREET & EIGHTH ST,37.881592,-122.299755
4694,ASSAULT/BATTERY MISD.,ASSAULT,2800 SACRAMENTO ST,37.856792,-122.279845
2822,IDENTITY THEFT,FRAUD,1300 CEDAR ST,37.876174,-122.287054
3577,MISSING JUVENILE,MISSING PERSON,1200 FRANCISCO ST,37.87304,-122.289659
4937,BURGLARY AUTO,BURGLARY - VEHICLE,2200 DURANT AVE,37.866969,-122.26553
1906,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,2500 DURANT AVE,37.867852,-122.258699
3874,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1000 GILMAN ST,37.88015,-122.297446
5446,HOMICIDE,HOMICIDE,BLAKE STREET & CALIFORNIA ST,37.861653,-122.278529
